,name,price,location,price_int
0,100% KUALITAS Cat Kayu Boyo Politur Vernis Avian Brands 1liter/ Pernis,Ed118.000,Jakarta Timur,118000
0,"Cat Tembok LENKOTE Supersilk Anti Noda 2,5 Liter AVIAN BRAND",Ed270.000,Tangerang,270000
0,PAINT YOUR WOLRD 🌈 Cat Kayu dan Besi Glovin Avian Brand,Ed90.000,Jakarta Selatan,90000
0,Cat Kayu Boyo Politur Vernis Avian Brands 1liter/ Pernis Pelitur 1kg,Ed87.000,Surabaya,87000
0,YOKO CAT GENTENG DAN SENG GALON 4 KG AVIAN BRAND,Ed148.800,Kab. Grobogan,148800
0,Avian Brands Aries Gold Galon 5 Kg Warna - Cat Tembok Interior,Ed85.000,Tangerang,85000
0,Cat air dinding tembok wall paint 20kg Aries Avian brand (instant),Ed240.500,Pekanbaru,240500
0,"Cat Avian Brands 1/2 kg / Cat Minyak Kayu dan Besi 0,5kg/ Setengah",Ed85.000,Jakarta Timur,85000
0,Cat Besi Dan Kayu Avian Brands 1kg Putih Hitam Coklat Abu Kuning Ungu,Ed80.000,Kab. Bogor,80000
0,Politur Vernis Boyo 500 Gram Brand Avian Plistur Politur Kusen Kayu,Ed79.000,Jakarta Timur,79000
0,Pilox SUZUKA Spray 300cc/ Cat Semprot Suzuka/ Avian Brands,Ed30.000,Kab. Bekasi,30000
0,Cat Tembok Avitek 1kg Avian Brands Avitex,Ed48.900,Kab. Bekasi,48900
0,Lem Pipa & Fitting PVC ViPLAS 100gr AVIAN Brands 100 gram botol 100 gr,Ed19.500,Makassar,19500
